Line;Rain;Temperature;RH ;DewPoint;WindSpeed;GustSpeed;WindDirection;#;PLANTA;FRUTO;INCIDENCIA;SEVERIDAD(%)
3004;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;69;PL007;9;0;0
3005;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;70;PL007;10;0;0
3006;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;71;PL008;1;0;0
3007;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;72;PL008;2;0;0
3008;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;73;PL008;3;0;0
3009;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;74;PL008;4;0;0
3010;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;75;PL008;5;0;0
3011;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;76;PL008;6;0;0
3012;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;77;PL008;7;0;0
3013;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;78;PL008;8;0;0
3014;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;79;PL008;9;0;0
3015;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;80;PL008;10;0;0
3016;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;81;PL009;1;0;0
3017;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;82;PL009;2;0;0
3018;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;83;PL009;3;0;0
3019;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;84;PL009;4;1;100
3020;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;85;PL009;5;0;0
3021;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;86;PL009;6;1;75
3022;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;87;PL009;7;1;30
3023;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;88;PL009;8;1;100
3024;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;89;PL009;9;0;0
3025;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;90;PL009;10;0;0
3026;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;91;PL010;1;0;0
3027;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;92;PL010;2;0;0
3028;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;93;PL010;3;0;0
3029;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;94;PL010;4;0;0
3030;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;95;PL010;5;0;0
3031;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;96;PL010;6;0;0
3032;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;97;PL010;7;0;0
3033;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;98;PL010;8;0;0
3034;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;99;PL010;9;0;0
3035;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;100;PL010;10;0;0
3036;;;;;;;;;;;;
3037;;;;;;;;;;;;
